ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,196,C:\Windows\system32\ClipRenew.exe,2019-12-07 14:37:24,NA,False,Live Registry
1,197,C:\Windows\SYSTEM32\cmd.exe,2021-01-18 19:14:54,NA,False,Live Registry
1,198,C:\Windows\System32\DriverStore\FileRepository\nvmdi.inf_amd64_7b0dc0eb3dabf562\Display.NvContainer\NVDisplay.Container.exe,2021-06-11 16:48:14,NA,False,Live Registry
1,199,C:\Windows\system32\vmms.exe,2021-09-17 13:52:05,NA,False,Live Registry
1,200,C:\Windows\System32\Upfc.exe,2019-12-07 09:08:33,NA,False,Live Registry
1,201,C:\Windows\system32\dwm.exe,2021-01-18 19:15:23,NA,False,Live Registry
1,202,C:\Windows\system32\fontdrvhost.exe,2021-08-16 14:16:34,NA,False,Live Registry
1,203,C:\Windows\system32\lsass.exe,2021-04-16 15:52:59,NA,False,Live Registry
1,204,C:\Windows\system32\services.exe,2021-04-16 15:52:59,NA,False,Live Registry
1,205,C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe,2021-04-01 19:17:37,NA,False,Live Registry
1,206,C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.19041.1220_none_7e21bc567c7ed16b\TiWorker.exe,2021-08-10 04:52:39,NA,False,Live Registry
1,207,C:\Windows\servicing\TrustedInstaller.exe,2021-09-17 13:51:52,NA,False,Live Registry
1,208,C:\Windows\System32\LogonUI.exe,2019-12-07 09:08:19,NA,False,Live Registry
1,209,C:\Windows\system32\taskhostw.exe,2021-04-16 15:53:02,NA,False,Live Registry
1,210,C:\Users\Klim\AppData\Local\GitHubDesktop\app-2.9.3\resources\app\desktop-trampoline\desktop-trampoline.exe,2021-09-13 10:07:43,NA,False,Live Registry
1,211,C:\Users\Klim\AppData\Local\GitHubDesktop\app-2.9.3\resources\app\git\mingw64\bin\git-remote-https.exe,2021-09-13 10:07:44,NA,False,Live Registry
1,212,C:\Windows\system32\wbem\wmiprvse.exe,2020-12-11 20:36:52,NA,False,Live Registry
1,213,C:\Users\Klim\AppData\Local\GitHubDesktop\app-2.9.3\resources\app\git\mingw64\libexec\git-core\git-lfs.exe,2021-09-13 10:07:45,NA,False,Live Registry
1,214,C:\Users\Klim\AppData\Local\GitHubDesktop\Update.exe,2021-09-13 10:07:43,NA,False,Live Registry
1,215,C:\Windows\System32\CompPkgSrv.exe,2021-01-18 19:14:32,NA,False,Live Registry
1,216,C:\Users\Klim\AppData\Local\GitHubDesktop\app-2.9.3\GitHubDesktop.exe,2021-09-13 10:07:43,NA,False,Live Registry
1,217,C:\Windows\System32\smartscreen.exe,2021-06-10 18:04:20,NA,False,Live Registry
